dataset,split,encoder,seed,best_epoch,val_loss,test_loss,val_auc,val_aupr,val_f1,val_acc,test_auc,test_aupr,test_f1,test_acc,n_incident_nodes,n_total_nodes,n_nonincident_drugs,n_nonincident_clines,n_train,n_valid,n_test,train_pos_rate,valid_pos_rate,test_pos_rate,n_hyperedges,train_test_drug_overlap,n_heldout_test_drugs,n_heldout_valid_drugs,heldout_test_train_overlap,heldout_valid_train_overlap
ALMANAC,random,kan,42,6,1.8298225402832031,1.8299033641815186,0.5365250655635881,0.12992352887541703,0.21777059773828755,0.3586754966887417,0.5357613881002191,0.12780144494205514,0.21544912110949846,0.35562913907284766,142,142,0,0,60393,7550,7550,0.11931846290826797,0.11933774501085281,0.11933774501085281,7206,86,0,0,0,0
ALMANAC,cold_drug,kan,42,0,2.4744479656219482,2.47631573677063,0.5756018004994798,0.1633528062277977,0.22269604359156597,0.1339580308829352,0.5197762433105071,0.12838255121516656,0.2084620869978607,0.12183544303797468,136,142,6,0,60332,7577,7584,0.11902473121881485,0.1248515248298645,0.11616560816764832,7181,60,3,3,0,0
