dataset,split,encoder,seed,best_epoch,val_loss,test_loss,val_auc,val_aupr,val_f1,val_acc,test_auc,test_aupr,test_f1,test_acc,n_incident_nodes,n_total_nodes,n_train,n_valid,n_test,train_pos_rate,valid_pos_rate,test_pos_rate,n_hyperedges,train_test_drug_overlap
ONEIL,random,hgnn,42,0,0.9531102776527405,0.9530885815620422,0.5426163860677528,0.09106667462135584,0.0,0.9103375527426161,0.5123451287993583,0.08518408197764793,0.0,0.9108179419525066,70,70,15159,1896,1895,0.08938584476709366,0.08966244757175446,0.0891820564866066,1355,38
ONEIL,random,kan,42,0,2.1963307857513428,2.196418523788452,0.4726416058891691,0.07891715686219475,0.12160694896851248,0.5733122362869199,0.461307054653164,0.08030289986277916,0.12081984897518878,0.5699208443271768,70,70,15159,1896,1895,0.08938584476709366,0.08966244757175446,0.0891820564866066,1355,38
ONEIL,cold_drug,hgnn,42,0,0.9517812132835388,0.9527720212936401,0.452996667255897,0.08770549167342827,0.0,0.9251366120218579,0.6436405104340828,0.20434848110675513,0.0,0.9022517911975435,66,70,15166,1830,1954,0.09006989002227783,0.07486338913440704,0.09774821251630783,1366,34
ONEIL,cold_drug,kan,42,0,2.011188507080078,2.0100841522216797,0.497055285611427,0.06950667109178622,0.14300960512273211,0.12240437158469945,0.32321601981391784,0.06749456129954473,0.15523284927391087,0.13664278403275332,66,70,15166,1830,1954,0.09006989002227783,0.07486338913440704,0.09774821251630783,1366,34
